,D e r e t   t a k h i n g g a   u n t u k   π,S e t e l a h   s u k u   k e - 1,S e t e l a h   s u k u   k e - 2,S e t e l a h   s u k u   k e - 3,S e t e l a h   s u k u   k e - 4,S e t e l a h   s u k u   k e - 5,B e r k o n v e r g e n   k e :
0,,40000,"2,6666...","3,4666...","2,8952...","3,3396...","π = 3,1415..."
1,,30000,"3,1666...","3,1333...","3,1452...","3,1396...","π = 3,1415..."
