,N e g a r a,G r u p   R e g i o n a l,A n g g o t a   s e j a k
0,Republik Rakyat Tiongkok,Grup Asia-Pasifik,"1971, menggantikan Republik Tiongkok"
1,Prancis,Grup Eropa Barat dan Lain-Lain,1946
2,Federasi Rusia,Grup Eropa Timur,"1991, menggantikan Uni Republik Sosialis Soviet"
3,Britania Raya,Grup Eropa Barat dan Lain-Lain,1946
4,Amerika Serikat,Grup Eropa Barat dan Lain-Lain,1946
