,0,1,2
0,Didahului oleh:Charles W. Yost,Dubes AS untuk PBB1971 – 1973,Diteruskan oleh:John A. Scali
1,Didahului oleh:John V. Dowdy,Anggota Kongres Amerika Serikat Distrik 7 Texas1967 – 1971,Diteruskan oleh:Bill Archer
2,Didahului oleh:Bob Dole,Ketua Komite Nasional Republik1973 – 1974,Diteruskan oleh:Mary Louise Smith
3,Didahului oleh:William E. Colby,Direktur CIA30 Januari 1976 - 20 Januari 1977,Diteruskan oleh:Adm. Stansfield Turner
4,Didahului oleh:Bob Dole,"Nominator Wakil Presiden Partai Republik1980 (menang), 1984 (menang)",Diteruskan oleh:Dan Quayle
5,Didahului oleh:Walter Mondale,Wakil Presiden Amerika Serikat20 Januari 1981 – 20 Januari 1989Presiden Amerika Serikat Sementara: 13 Juli 1985,Diteruskan oleh:Dan Quayle
6,Didahului oleh:Ronald Reagan,"Nominator Presiden Partai Republik1988 (menang), 1992 (kalah)",Diteruskan oleh:Bob Dole
7,Didahului oleh:Ronald Reagan,Presiden Amerika Serikat20 Januari 1989 – 20 Januari 1993,Diteruskan oleh:Bill Clinton
8,Didahului oleh:François Mitterrand,Ketua G-81990,Diteruskan oleh:John Major
9,Didahului oleh:Mikhail Gorbachev,Tokoh tahunan versi majalah Time1990,Diteruskan oleh:Ted Turner
