,W a r n a   r e s m i   ( P u t i h ),W a r n a   r e s m i   ( M e r a h ),S i s t e m   w a r n a,K u t i p a n,T a h u n,U R L
0,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} N9[71],5R 4/12[71],Munsell,DSP Z 8701C,1973,[68]
1,,156[72],DIC,Pedoman Tanda Simbol ODA,1995,[69]
2,,0-100-90-0,CMYK,Pedoman Tanda Simbol ODA,1995,[69]
3,,186 Coated[73],Pantone,Album des pavillons nationaux et des marques distinctives,2000,[74]
4,,0-90-80-5[73],CMYK,Album des pavillons nationaux et des marques distinctives,2000,[74]
5,N9.4 (Akrilik)[71],5.7R 3.7/15.5 (Akrilik)[71],Munsell,DSP Z 8701E,2008,[68]
6,N9.2 (Nilon)[71],6.2R 4/15.2 (Nilon)[71],Munsell,DSP Z 8701E,2008,[68]
7,,032 Coated[73],Pantone,Pedoman Protokol Olimpiade Musim Panas 2008 – Bendera Manual,2008,[75]
