,P e r i n g k a t,S t a t i s t i c a l   D i v i s i o n / D i s t r i c t,N e g a r a   B a g i a n,J u m l a h   P e n d u d u k   P e r k i r a a n   J u n i   2 0 0 8 [ 2 ]
0,1,Sydney,New South Wales,4399722
1,2,Melbourne,Victoria,3892419
2,3,Brisbane,Queensland,1945639
3,4,Perth,Australia Barat,1602559
4,5,Adelaide,Australia Selatan,1172105
5,6,Gold Coast-Tweed,Queensland/New South Wales,558888
6,7,Newcastle,New South Wales,531191
7,8,Canberra-Queanbeyan,Teritori Ibukota Australia/New South Wales,395126
8,*,Canberra,Teritori Ibu kota Australia [3],345257
9,9,Wollongong,New South Wales,284169
10,10,Sunshine Coast,Queensland,237562
11,11,Hobart Raya,Tasmania,209287
12,12,Geelong,Victoria,172300
13,13,Townsville,Queensland,162730
14,14,Cairns,Queensland,142001
15,15,Toowoomba,Queensland,125339
16,16,Darwin,Teritori Utara,120652
17,17,Launceston,Tasmania,104649
18,18,Albury-Wodonga,New South Wales/Victoria,102894
19,19,Ballarat,Victoria,91787
20,20,Bendigo,Victoria,88031
21,21,Mackay,Queensland,81148
22,22,Burnie-Devonport,Tasmania,81144
23,23,Mandurah,Australia Barat,78612
24,24,La Trobe Valley [4],Victoria,78531
25,25,Rockhampton,Queensland,75497
26,26,Bundaberg,Queensland,66176
27,27,Bunbury,Australia Barat,63202
28,28,Wagga Wagga,New South Wales,56911
29,29,Hervey Bay,Queensland,56165
30,30,Coffs Harbour,New South Wales,51538
31,31,Mildura,Victoria,49280
32,32,Gladstone,Queensland,48796
33,33,Shepparton,Victoria,47710
34,34,Tamworth,New South Wales,45615
35,35,Port Macquarie,New South Wales,42900
36,36,Orange,New South Wales,37991
37,37,Dubbo,New South Wales,36653
38,38,Geraldton,Australia Barat,35361
39,39,Nowra-Bomaderry,New South Wales,33212
40,40,Bathurst,New South Wales,32942
41,41,Warrnambool,Victoria,32712
42,42,Lismore,New South Wales,31926
43,43,Kalgoorlie/Boulder,Australia Barat,31509
