,N e g a r a,D e w a s a ( R i b u ),K e k a y a a n r e r a t a   p e r d e w a s a ( U S D ),K e k a y a a n m e d i a n   p e r d e w a s a ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),G i n i   %
0,Denmark,4190,255066,57675,39.5,17.0,37.8,5.7,100,107.7
1,Russian Federation,110365,10976,871,93.7,5.6,0.6,0.1,100,93.1
2,Ukraine,35912,3413,419,97.4,2.3,0.2,0.0,100,90.0
3,Kazakhstan,10958,7161,1176,93.1,6.3,0.6,0.1,100,86.7
4,Lebanon,2953,30868,6076,66.8,29.8,3.2,0.3,100,86.3
5,United States of America,239279,301140,44911,30.7,33.0,30.7,5.5,100,85.1
6,Zimbabwe,6690,2913,479,93.9,5.8,0.3,0.0,100,83.8
7,Turkey,51687,25909,5326,67.0,30.3,2.5,0.2,100,83.7
8,South Africa,31034,19613,3051,72.3,24.9,2.6,0.1,100,83.6
9,"Hong Kong, China",6052,153312,32384,30.3,49.7,18.3,1.7,100,83.1
10,Philippines,56730,8799,1849,88.1,11.1,0.8,0.1,100,82.9
11,Indonesia,157869,11839,2393,81.1,17.6,1.3,0.1,100,82.8
12,Thailand,49642,7772,1855,90.5,8.8,0.6,0.0,100,82.6
13,Venezuela,18991,6900,1505,90.9,8.5,0.6,0.0,100,82.5
14,Brazil,135385,23278,5117,66.6,30.5,2.7,0.2,100,82.1
15,Malaysia,18382,27007,5831,61.4,35.3,3.1,0.2,100,81.5
16,Chile,12461,49032,11742,45.0,48.0,6.6,0.4,100,81.4
17,India,767612,4706,1040,94.4,5.2,0.3,0.0,100,81.3
18,Switzerland,6101,512562,95916,5.2,46.0,38.8,10.0,100,80.6
19,Sweden,7299,299441,52677,15.6,48.3,29.2,6.9,100,80.3
20,Egypt,52710,7285,1852,90.4,9.0,0.6,0.0,100,80.3
21,Nigeria,80462,3620,894,94.9,4.9,0.3,0.0,100,80.0
