,"D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )","D a t a   i k l i m   B u e n o s   A i r e s ,   A r g e n t i n a   ( 1 9 8 1 – 1 9 9 0   p e r i o d )"
0,Rekor tertinggi °C (°F),43.3 (109.9),38.7 (101.7),37.9 (100.2),36.0 (96.8),31.6 (88.9),28.5 (83.3),30.2 (86.4),34.4 (93.9),34 (93),34 (93),36.8 (98.2),40.5 (104.9),40.6 (105.1)
1,Rata-rata tertinggi °C (°F),29.4 (84.9),27.9 (82.2),26.4 (79.5),22.5 (72.5),16.0 (60.8),14.9 (58.8),13.9 (57),15.2 (59.4),17.9 (64.2),22.5 (72.5),25.3 (77.5),27.1 (80.8),21.5 (70.7)
2,Rata-rata harian °C (°F),24.1 (75.4),23.0 (73.4),21.7 (71.1),18.2 (64.8),13.1 (55.6),11.3 (52.3),9.6 (49.3),11.5 (52.7),13.9 (57),17.7 (63.9),20.6 (69.1),22.7 (72.9),17.2 (63)
3,Rata-rata terendah °C (°F),18.9 (66),17.4 (63.3),17.0 (62.6),13.7 (56.7),10.3 (50.5),7.6 (45.7),5.4 (41.7),7.9 (46.2),9.9 (49.8),13.0 (55.4),15.9 (60.6),18.4 (65.1),12.9 (55.2)
4,Rekor terendah °C (°F),5.9 (42.6),4.2 (39.6),2.8 (37),−2.3 (27.9),−4 (25),−5.3 (22.5),−5.4 (22.3),−4.0 (24.8),−2.4 (27.7),−2 (28),1.6 (34.9),3.7 (38.7),−5.4 (22.3)
5,Presipitasi mm (inci),110.6 (4.354),122.6 (4.827),153.9 (6.059),106.9 (4.209),92.1 (3.626),59.0 (2.323),77.9 (3.067),70.2 (2.764),77.7 (3.059),139.3 (5.484),129.2 (5.087),103.2 (4.063),"1.242,6 (48,921)"
6,Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2],Sumber: Servicio Meteorológico Nacional[2]
