,0,1,2,3
0,Proses fisik,Alat eksperimen,Model teoretis,Yang dijelaskan/diprediksi
1,Gravitasi,Teleskop radio,Efek Nordtvedt (sistem gravitasi yang mandiri),Lahirnya sebuah tata bintang
2,Fusi nuklir,Spektroskopi,Evolusi bintang,Bagaimana bintang berpijar; bagaimana logam terbentuk (nukleosintesis).
3,Dentuman Besar (Big Bang),"Teleskop luar angkasa Hubble, COBE",Alam semesta yang mengembang,Usia alam semesta
4,Fluktuasi kuantum,,Inflasi kosmik,Masalah kerataan alam semesta (flatness problem)
5,Keruntuhan gravitasi,Astronomi sinar-X,Relativitas umum,Sekumpulan lubang hitam di pusat Galaksi Andromeda.
6,Siklus CNO pada bintang-bintang,,,
