,"D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0","D a t a   i k l i m   P u l a u   B u r u n g ,   G e o r g i a   S e l a t a n ,   1 9 6 1 – 1 9 9 0"
0,Rekor tertinggi °C (°F),11.2 (52.2),10.7 (51.3),10.5 (50.9),10.2 (50.4),6.9 (44.4),6.0 (42.8),5.9 (42.6),4.8 (40.6),7.5 (45.5),10.4 (50.7),9.1 (48.4),9.4 (48.9),11.2 (52.2)
1,Rata-rata tertinggi °C (°F),5.5 (41.9),5.6 (42.1),4.4 (39.9),1.9 (35.4),−0.5 (31.1),−1.8 (28.8),−2.4 (27.7),−1.9 (28.6),−0.2 (31.6),1.6 (34.9),3.4 (38.1),4.5 (40.1),1.67 (35.02)
2,Rata-rata harian °C (°F),3.1 (37.6),3.5 (38.3),2.5 (36.5),0.4 (32.7),−2.1 (28.2),−3.2 (26.2),−3.9 (25),−3.3 (26.1),−1.8 (28.8),−0.2 (31.6),1.0 (33.8),2.0 (35.6),−0.17 (31.7)
3,Rata-rata terendah °C (°F),0.7 (33.3),1.4 (34.5),0.6 (33.1),−1 (30),−3.8 (25.2),−4.6 (23.7),−5.4 (22.3),−4.8 (23.4),−3.4 (25.9),−1.9 (28.6),−1.5 (29.3),−0.6 (30.9),−2.02 (28.35)
4,Rekor terendah °C (°F),−2 (28),−1.7 (28.9),−3.2 (26.2),−4.6 (23.7),−7.3 (18.9),−8.5 (16.7),−11.4 (11.5),−10.6 (12.9),−8.5 (16.7),−6.6 (20.1),−4.3 (24.3),−2.8 (27),−11.4 (11.5)
5,Presipitasi mm (inci),84 (3.31),80 (3.15),95 (3.74),123 (4.84),108 (4.25),108 (4.25),120 (4.72),114 (4.49),107 (4.21),98 (3.86),88 (3.46),77 (3.03),"1.204 (47,4)"
6,"Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]","Sumber #1: Climatic Research Unit, UEA[15]"
7,Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16],Sumber #2: Météo Climat[16]
