,0,1
0,Håfa Adai,Halo [intim]
1,Memorias [Spainsh cuded],Selamat ya
2,Kao mamaolek ha' hao?,Bagaimana kabarmu? [intim]
3,Håfa tatatmånu hao?,Bagaimana kabarmu?
4,Håyi nå'ån-mu?,Siapa nama kamu?
5,Nå'ån-hu si Chris,Namaku Chris.
6,Ñålang yo',Saya lapar.
7,Må'o yo',Aku haus
8,Påt Esta,Selamat tinggal
9,Asta agupa',Sampai besok
10,Si Yu'us ma'åsi',Terima kasih
