,H u r u f   K o n s o n a n   L a b i a l,H u r u f   K o n s o n a n   L a b i a l,H u r u f   K o n s o n a n   A l v e o l a r,H u r u f   K o n s o n a n   A l v e o l a r,H u r u f   K o n s o n a n   P a l a t o - A l v e o l a r,H u r u f   K o n s o n a n   P a l a t a l,H u r u f   K o n s o n a n   V e l a r,H u r u f   K o n s o n a n   V e l a r
0,m 〈м〉,mʲ 〈-мь〉,n 〈н〉,nʲ 〈-нь〉,,"ɲ 〈н(и,е,а)〉",,
1,p 〈п〉,pʲ 〈-пь〉,t 〈т〉,tʲ 〈-ть〉,,"c 〈к(и,е,а)〉",k 〈к〉,kʲ 〈-кь〉
2,b 〈б〉,bʲ 〈-бь〉,d 〈д〉,dʲ 〈-дь〉,,"ɟ 〈г(и,е,а)〉",g 〈г〉,gʲ 〈-гь〉
3,,,t͡s 〈ц〉,t͡sʲ 〈-ць〉,t͡ʃ 〈ч〉,,,
4,,,d͡z 〈дз〉,,"ʒ 〈ӂ,ж〉",,,
5,v 〈в〉,vʲ 〈-вь〉,z 〈з〉,zʲ 〈-зь〉,"ʒ 〈ӂ,ж〉","ʝ 〈ж(и,е,а)〉",,
6,f 〈ф〉,fʲ 〈-фь〉,s 〈с〉,sʲ 〈-сь〉,ʃ 〈ш〉,"ç 〈ш(и,е,а)〉",x 〈х〉,xʲ 〈-хь〉
7,"w 〈ў,у〉",,r 〈р〉,rʲ 〈-рь〉,,"j 〈й,и〉",x 〈х〉,xʲ 〈-хь〉
8,"w 〈ў,у〉",,l 〈л〉,lʲ 〈-ль〉,,"j 〈й,и〉",x 〈х〉,xʲ 〈-хь〉
