,B i l a n g a n,B a h a s a   J e p a n g,B a h a s a   I n d o n e s i a
0,0,rei/zero,nol
1,1,ichi,satu
2,2,ni,dua
3,3,san,tiga
4,4,shi/yon,empat
5,5,go,lima
6,6,roku,enam
7,7,shichi/nana,tujuh
8,8,hachi,delapan
9,9,kyū/ku,sembilan
10,10,jū,sepuluh
11,20,ni-jū,dua puluh
12,30,san-jū,tiga puluh
13,40,shi-jū,empat puluh
14,50,go-jū,lima puluh
15,60,roku-jū,enam puluh
16,70,shichi-jū,tujuh puluh
17,80,hachi-jū,delapan puluh
18,90,kyū-jū,sembilan puluh
19,100,hyaku,seratus
20,1.000,sen,seribu
21,10.000,man,sepuluh ribu
22,100. 000,jū-man,seratus ribu
23,1.000.000,hyaku-man,satu juta
24,10.000.000,sen-man,sepuluh juta
25,100.000.000,oku,seratus juta
26,1.000.000.000.000,chō,satu triliun
