,B a h a s a,B a h a s a . 1,K a t a,I P A / F A I,A r t i,C a t a t a n
0,Ahtna,Ahtna,kuggaedi,[kʰuk̠æti],'nyamuk',
1,Arab,Baku[3],كتاب,[kiˈt̪æːb],'buku',Alofon /a/ diantara konsonan bibir dan koronal /j/
