,D i a l e k   T s u s h i m a,B a h a s a   K o r e a,B a h a s a   J e p a n g   S t a n d a r,A r t i   d a l a m   b a h a s a   I n d o n e s i a
0,ヤンバンyanban,양반(兩班)yangban,金持ちkanemochi,orang kaya(yangban adalah kelas elit di Korea)
1,"チング, チングィchingu, chingui",친구(親旧)chingu,友達tomodachi,teman
2,トーマンカッタtōmankatta,도망(逃亡)갔다domang gatta,夜逃げyonige,Melarikan diri pada malam hari (atau kabur meninggalkan utang)(domang gatta dalam bahasa Korea berarti melarikan diri)
3,ハンガチhangachi,한가지hangaji,ひとつhitotsu,satu (untuk barang)(dalam bahasa Korea kata hangaji berarti satu jenis)
4,チョコマンchokoman,조그만jogeuman,小さいchiisai,kecil
5,バッチbatchi,바지baji,ズボンzubon,celana
