,J a b a t a n   p o l i t i k,J a b a t a n   p o l i t i k . 1,J a b a t a n   p o l i t i k . 2
0,Didahului oleh:Maladi,Menteri Penerangan Indonesia1962,Diteruskan oleh:Roeslan Abdulgani
1,Didahului oleh:Johannes Leimena,Menteri Sosial dan Kebudayaan Indonesia1959,Diteruskan oleh:Muljadi Djojomartono
2,Didahului oleh:Bahder Djohan,Menteri Pendidikan dan Kebudayaan Indonesia1953–1955,Diteruskan oleh:RM Suwandi
3,Didahului oleh:Wongsonegoro,Menteri Kehakiman Indonesia1951,Diteruskan oleh:Mohammad Nasrun
4,Jabatan pemerintahan,Jabatan pemerintahan,Jabatan pemerintahan
5,Didahului oleh:Ali Budiardjo,Ketua Dewan Perancangan Nasional1958–1962,Diteruskan oleh:Soeharto Sastrosoeyoso
