,P e n g g o l o n g a n 3   j e n i s,P e n g g o l o n g a n 5   j e n i s,C i r i   k h a s,C i r i   k h a s . 1
0,sonkeigo,sonkeigo,sozaikeigo,Kata-kata yang meninggikan tindakan subjek yang sedang menjadi topik pembicaraan dibandingkan kedudukan penutur.
1,kenjōgo,kenjōgo,sozaikeigo,Kata-kata yang merendahkan tindakan penutur untuk meninggikan lawan bicara atau subjek pembicaraan yang berkedudukan lebih tinggi dari penutur
2,kenjōgo,teichōgo,taishakeigo,Kata-kata yang meninggikan kedudukan lawan bicara yang memang sudah lebih tinggi dibandingkan kedudukan penutur.
3,teineigo,teineigo,taishakeigo,Kata-kata yang dipakai untuk menunjukkan kedudukan lawan bicara yang lebih tinggi dibandingkan penutur.
4,teineigo,bikago,-,"Kata-kata yang dipakai untuk menunjukkan kehalusan, kesopanan, dan ketidaklangsungan."
