,0,1
0,Periode Devon (zaman)20–20 juta tahun yang lalu PreЄ Є O S D C P T J K Pg N,Periode Devon (zaman)20–20 juta tahun yang lalu PreЄ Є O S D C P T J K Pg N
1,Rata-rata kadar O2 selama periode,ca. 15 Vol %[1](75 % tingkat kehidupan modern)
2,Rata-rata kadar CO2 selama periode,ca. 2200 ppm[2](8 kali tingkat pra-industrial)
3,Rata-rata suhu permukaan selama periode,ca. 20 °C[3](6 °C di atas tingkat kehidupan modern)
4,Permukaan laut (di atas sekarang),"Relatively steady around 189m, gradually falling to 120m through period[4]"
5,Templat:Devon (zaman) graphical timeline,Templat:Devon (zaman) graphical timeline
