,N o .,F o t o,G u b e r n u r,M u l a i   J a b a t a n,A k h i r   J a b a t a n,P r d .,K e t .,W a k i l   G u b e r n u r
0,1,,A.P.T. Pranoto,1957,1959,1,,
1,2,,Inche Abdoel Moeis,3 Maret 1959,27 Mei 1959,2,,
2,(1),,A.P.T. Pranoto,1959,1961,3,[ket. 1],
3,—,,Prodjosoemarto,1961,1962,3,[ket. 2],
4,3,,Abdoel Moeis Hassan,10 Agustus 1962,14 September 1966,4,,
5,4,,Soekadio,1966,1967,5,[29],
6,5,,Abdoel Wahab Sjahranie,1967,1978,6,,
7,5,,Abdoel Wahab Sjahranie,1967,1978,7,,
8,6,,Erry Soepardjan,22 Mei 1978,5 Juni 1983,8,,
9,7,,Soewandi Roestam,7 Juni 1983,25 Juni 1988,9,,Muhammad Ardans
10,8,,Muhammad Ardans,25 Juni 1988,25 Juni 1993,10,,Harsono
11,8,,Muhammad Ardans,25 Juni 1993,25 Juni 1998,11,,Suwarna Abdul Fatah
12,9,,Suwarna Abdul Fatah,1998,2003,12,[ket. 3],Chaidir Hafidz
13,9,,Suwarna Abdul Fatah,2003,2006,13,,Yurnalis Ngayoh
14,—,,Yurnalis Ngayoh,8 Desember 2006,10 Maret 2008,13,[ket. 4],—
15,10,,Yurnalis Ngayoh,10 Maret 2008,25 Juni 2008,13,,—
16,—,,Syaiful Teteng(Pelaksana harian),25 Juni 2008,3 Juli 2008,—,[31],—
17,—,,Tarmizi Abdul Karim(Penjabat),3 Juli 2008,17 Desember 2008,—,[ket. 5],—
18,11,,Awang Faroek Ishak,17 Desember 2008,17 Desember 2013,14,,Farid Wadjdy
19,11,,Awang Faroek Ishak,17 Desember 2013,20 September 2018,15,[ket. 6],Mukmin Faisyal
20,—,,Meiliana(Pelaksana harian),20 September 2018,22 September 2018,15,,—
21,—,,Restuardy Daud(Penjabat),22 September 2018,1 Oktober 2018,15,[32],—
22,12,,Isran Noor,1 Oktober 2018,Petahana,16,,Hadi Mulyadi
