,N a m a,K e b a n g s a a n,D u r a s i
0,W. Sterling Cole,Amerika serikat,1 Desember 1957 – 30 November 1961
1,Sigvard Eklund,Swedia,1 Desember 1961 – 30 November 1981
2,Hans Blix,Swedia,1 Desember 1981 – 30 November 1997
3,Mohamed ElBaradei,Mesir,1 Desember 1997 – 30 November 2009
4,Yukiya Amano,Jepang,1 Desember 2009 – 18 Juli 2019
5,Rafael Grossi,Argentina,3 Desember 2019 - sekarang
