,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s,D a t a   i k l i m   T u n i s
0,Rekor tertinggi °C (°F),25 (77),29 (84),33 (91),40 (104),40 (104),43 (109),48 (118),47 (117),44 (111),40 (104),32 (90),27 (81),48 (118)
1,Rata-rata tertinggi °C (°F),14 (57),16 (61),18 (64),21 (70),24 (75),29 (84),32 (90),33 (91),31 (88),25 (77),20 (68),16 (61),23 (73)
2,Rata-rata terendah °C (°F),6 (43),7 (45),8 (46),11 (52),13 (55),17 (63),20 (68),21 (70),19 (66),15 (59),11 (52),7 (45),13 (55)
3,Rekor terendah °C (°F),−1 (30),0 (32),1 (34),3 (37),6 (43),9 (48),10 (50),11 (52),11 (52),7 (45),1 (34),−1 (30),−1 (30)
4,Presipitasi mm (inci),64 (2.52),51 (2.01),41 (1.61),36 (1.42),18 (0.71),8 (0.31),3 (0.12),8 (0.31),33 (1.3),51 (2.01),48 (1.89),61 (2.4),422 (16.61)
5,Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2],Sumber: BBC Weather [2]
