,B u l a n,B u l a n . 1,R o m u l u s,N u m a,J u l i a n   I,J u l i a n   I I,G r e g o r i a n
0,Indonesia,Latin,Lama (hari),Lama (hari),Lama (hari),Lama (hari),Lama (hari)
1,Januari,Ianuarius,,29,31,29,31
2,Februari,Februarius,,28,29 (30),28 (23/24),28 (29)
3,Interkalari,Mercedonius/Intercalaris,,,0 (27),,
4,Maret,Martius,31,31,30,31,31
5,April,Aprilis,30,29,30,29,30
6,Mei,Maius,31,31,31,31,31
7,Juni,Iunius,30,29,31,29,30
8,Juli,Quintilis [2],31,31,31,31,31
9,Agustus,Sextilis,30,29,30,29,31
10,September,September[3],30,29,30,29,30
11,Oktober,October,31,31,30,31,31
12,November,November,30,29,31,29,30
13,Desember,December,30,29,30,29,31
14,Total,Total,304,355,364/365,355/377-378,365/366
