,M e t o d e,P e n j e l a s a n   r u m u s,R u m u s
0,D'Hondt,"suara yang diraih setiap partai dibagi berdasarkan angka serial: 1, 2, 3, 4, 5, 6, dan seterusnya.",.
1,Sainte Laguë (asli),"suara yang diraih setiap partai dibagi berdasarkan angka serial: 1, 3, 5, 7, 9, dan seterusnya.",.
2,Sainte Laguë (modifikasi),"suara yang diraih setiap partai dibagi berdasarkan angka serial: 1.4, 3, 5, 7, 9, dan seterusnya.",kecuali s=0.
3,Danish,"suara yang diraih setiap partai dibagi berdasarkan angka serial: 1, 4, 7, 10, 13, dan seterusnya.",.
4,Huntington–Hill,"suara yang diraih setiap partai dibagi berdasarkan akar angka serial: 2, 6, 12, 20, 30 dan seterusnya.",dimana s≠0.
