,B a h a s a   M e l a y u   S a r a w a k,B a h a s a   M e l a y u   S t a n d a r
0,Kamek,Saya
1,Kitak,Kamu
2,Nya,Dia
3,Aok/Auk,Iya
4,Sik,Tidak/Tak
5,Sik Ada,Tidak Ada
6,Kenak,Kenapa
7,Sitok,Sini
8,Sinun,Sana
9,Sia,Sine
10,Ne,Mana
11,Madah,Mengadu / Beritahu
12,Kelakar,Berbicara / berbincang
13,Sidaknya,Mereka
14,Sidak,Orang
15,Empun,Punya
16,Kinektok,Sekarang
17,Dudi,Kemudian
18,Ya,Itu
19,Ari Marek,Kemarin
20,Ari Ya,Hari Itu
21,Mbiak/Biak/Miak,Anak
22,Bulak,Bohong
