,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Senin,Tahun Baru Masehi
1,2,9 Februari,Jumat,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1399H)
2,3,13 April,Jumat,Wafat Yesus Kristus
3,4,24 Mei,Kamis,Kenaikan Yesus Kristus
4,5,22 Juni,Jumat,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1399H)
5,6,17 Agustus,Jumat,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-34
6,7,24-25 Agustus,Jumat-Sabtu,Idul Fitri (1-2 Syawal 1399H)
7,8,31 Oktober,Rabu,Idul Adha (10 Dzulhijjah 1399H)
8,9,21 November,Rabu,Tahun Baru Islam (1 Muharram 1400H)
9,10,25 Desember,Selasa,Hari Raya Natal
