,"D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a","D a t a   i k l i m   K u p a n g ,   N u s a   T e n g g a r a   T i m u r ,   I n d o n e s i a"
0,Rekor tertinggi °C (°F),40.0 (104),38.4 (101.1),35.6 (96.1),36.1 (97),40.0 (104),35.4 (95.7),39.0 (102.2),36.7 (98.1),37.2 (99),42.0 (107.6),38.3 (100.9),37.8 (100),42 (107.6)
1,Rata-rata tertinggi °C (°F),30.1 (86.2),30.0 (86),31.1 (88),32.4 (90.3),32.3 (90.1),31.4 (88.5),31.3 (88.3),32.5 (90.5),33.4 (92.1),33.8 (92.8),33.1 (91.6),31.4 (88.5),31.9 (89.4)
2,Rata-rata harian °C (°F),26.9 (80.4),26.6 (79.9),27.2 (81),27.7 (81.9),27.4 (81.3),26.2 (79.2),26.1 (79),26.7 (80.1),27.7 (81.9),28.8 (83.8),28.7 (83.7),27.6 (81.7),27.3 (81.1)
3,Rata-rata terendah °C (°F),23.8 (74.8),23.5 (74.3),23.3 (73.9),22.8 (73),22.3 (72.1),20.7 (69.3),20.2 (68.4),20.5 (68.9),21.2 (70.2),22.5 (72.5),23.6 (74.5),23.8 (74.8),22.4 (72.3)
4,Rekor terendah °C (°F),21.1 (70),20.0 (68),20.6 (69.1),17.2 (63),17.8 (64),15.6 (60.1),15.6 (60.1),15.6 (60.1),16.7 (62.1),18.3 (64.9),20.0 (68),21.1 (70),15.6 (60.1)
5,Curah hujan mm (inci),284 (11.18),266 (10.47),204 (8.03),127 (5),57 (2.24),41 (1.61),19 (0.75),14 (0.55),27 (1.06),49 (1.93),115 (4.53),253 (9.96),"1.456 (57,31)"
6,Rata-rata hari hujan,21.1,19.7,17.2,9.7,3.8,2.2,1.3,0.8,1.6,2.3,8.9,18.9,107.5
7,% kelembapan,85,86,83,75,70,67,65,63,64,66,73,81,73.2
8,Rata-rata sinar matahari bulanan,189,196,223,267,276,276,288,304,306,288,264,205,3.082
9,Rata-rata sinar matahari harian,6.1,6.9,7.2,8.9,8.9,9.2,9.3,9.2,10.2,9.3,8.8,6.6,8.38
10,Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16],Sumber #1: Weatherbase[15] & BMKG[16]
11,Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18],Sumber #2: Deutscher Wetterdienst & Danish Meteorological Institute[17][18]
