,0,1,2
0,Seleukos VI Epifanis Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 94 SM,Seleukos VI Epifanis Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 94 SM,Seleukos VI Epifanis Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 94 SM
1,Didahului oleh:Antiokhos VIIIAntiokhos IX,Raja Suriah96–94 SMbersama dengan Antiokhos IX (96–95 SM) Demetrios III (96–94 SM) Antiokhos X (95–94 SM),Diteruskan oleh:Demetrios IIIAntiokhos XAntiokhos XIFilipos I
