,B e s a r a n,S a t u a n,N i l a i   ( s a t u a n   S I )
0,Energi,eV,"1,6021766208(98)×10−19 J"
1,Massa,eV/c2,"1,782662×10−36 kg"
2,Momentum,eV/c,"5,344286×10−28 kg⋅m/s"
3,Temperatur,eV/kB,"1,1604505(20)×104 K"
4,Waktu,ħ/eV,"6,582119×10−16 s"
5,Jarak,ħc/eV,"1,97327×10−7 m"
