,B i l a b i a l,A l v e o l a r,P a l a t a l,V e l a r,G l o t t a l
0,b,d,,k/ɡ,
1,mb,nd,,ŋɡ,
2,pʰ,tʰ,,,
3,f,s,,,h
4,m,n,,,
5,,l,,,
6,,ɗ,,,
7,w,,j,,
