,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r J,H u r u f   k e c i l j
0,Unicode,Unicode,U+004A,U+006A
1,ASCII,Desimal,74,106
2,ASCII,Biner,01001010,01101010
3,EBCDIC,EBCDIC,209,145
