,H a c h i j ō,T i m u r   K u n o,k a t a   s e r u m p u n
0,"nubur- ""mendaki""",--,上る nobor- (Modern)no2bor- (Barat Kuno)nubuyuɴ (Okinawa)
1,"horow- ""menjemput""",pirop-,拾う hirow- (Modern)拾ふ firof- (Pertengahan)pi1rip- (Barat Kuno)firiɴ ~ firiyuɴ (Okinawa)phurūruɴ (Kunigami)
2,"houm- ""tahan di mulut""",popom-,"含む fukum- ""berisi"" (Modern)pupum- (WOJ)"
3,"nogow- ""menyeka""",nogop-,拭う nuguw- (Modern)拭ふ nuguf- (Pertengahan)nuguyuɴ (Okinawa)
4,"ote- ""jatuh""",--,落ちる ochi- (Modern)oti- (Barat Kuno)*ote- (Proto-Ryukyu)ʔutiyuɴ (Okinawa)
5,"ore- ""menurunkan""",--,降りる ori- (Modern)ori- (Barat Kuno)*ore- (Proto-Ryukyu)ʔuriyuɴ (Okinawa)
6,"memezume ""cacing tanah""",--,蚯蚓 mimizu (Modern)mimidu (Pertengahan)*memezu (Proto-Ryukyu)mimiji (Okinawa)
7,"asub- ""bermain""",--,遊ぶ asob- (Modern)aso1b- (Barat Kuno)*asub- (Proto-Ryukyu)asibuɴ ~ ashibuɴ (Okinawa)
8,"igok- ""bekerja""",--,"動く ugok- ""berpindah"" (Modern)ugo1k- (Barat Kuno)*igok- (Proto-Ryukyu)ʔɴjuchuɴ, ʔɴjuk- (Okinawa)"
9,"kasjag- ""bersandar, miring""",--,"傾ぐ kashig- (Modern)kasig-, katag- (Pertengahan)"
10,"kasik- ""kukus, rebus""",--,"炊ぐ kashig- (Modern)kasik- (Pertengahan)kashichii ""okowa"" (Okinawa)"
11,"katog- ""menanggung""",--,担ぐ katsug- (Modern)katug- (Pertengahan)
12,"jo ""ikan""",--,魚 uo (Modern)uwo ~ iwo (Pertengahan)*iyo (Proto-Ryukyu)ʔyu (Okinawa)ɿɿu (Miyako)
13,"hito, tecu ~ teQcu ""satu, se-""",--,"一 hito, 一つ hitotsu (Modern)pi1to2, pi1to2tu (Barat Kuno)*pito, *pitetu (Proto-Ryukyu)chu, tiitsi (Okinawa)pɿtu, pɿtiitsɿ (Miyako)"
