,0,1,2
0,Antiokhos VIII Grypos Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 96 SM,Antiokhos VIII Grypos Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 96 SM,Antiokhos VIII Grypos Dinasti SeleukiaLahir: Tidak diketahui Meninggal: 96 SM
1,Didahului oleh:Cleopatra Thea,Dinasti Seleukia (Raja Suriah)125–96 SMbersama dengan Cleopatra Thea (126–121/3 SM),Diteruskan oleh:Antiokhos IX Kyzikinos
