,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k
41,31,Herbert Hoover(1874–1964)[95][96][97],,4 Maret 1929,3 Maret 1933,Republik,Charles Curtis,36,
42,32,Franklin D. Roosevelt(1882–1945)[98][99][100],,4 Maret 1933,12 April 1945[ket 3][ket 5],Demokrat,John Garner,37,
43,32,Franklin D. Roosevelt(1882–1945)[98][99][100],,4 Maret 1933,12 April 1945[ket 3][ket 5],Demokrat,John Garner,38,
44,32,Franklin D. Roosevelt(1882–1945)[98][99][100],,4 Maret 1933,12 April 1945[ket 3][ket 5],Demokrat,Henry Wallace,39,
45,32,Franklin D. Roosevelt(1882–1945)[98][99][100],,4 Maret 1933,12 April 1945[ket 3][ket 5],Demokrat,Harry Truman,40,
46,33,Harry Truman(1884–1972)[101][102][103],,12 April 1945,20 Januari 1953,Demokrat,Kosong,40,
47,33,Harry Truman(1884–1972)[101][102][103],,12 April 1945,20 Januari 1953,Demokrat,Alben Barkley,41,
48,34,Dwight Eisenhower(1890–1969)[104][105][106],,20 Januari 1953,20 Januari 1961,Republik,Richard Nixon,42,
49,34,Dwight Eisenhower(1890–1969)[104][105][106],,20 Januari 1953,20 Januari 1961,Republik,Richard Nixon,43,
50,35,John Kennedy(1917–1963)[107][108][109],,20 Januari 1961,22 November 1963[ket 4],Demokrat,Lyndon Johnson,44,
51,36,Lyndon Johnson(1908–1973)[110][111],,22 November 1963,20 Januari 1969,Demokrat,Kosong,44,
52,36,Lyndon Johnson(1908–1973)[110][111],,22 November 1963,20 Januari 1969,Demokrat,Hubert Humphrey,45,
53,37,Richard Nixon(1913–1994)[112][113][114],,20 Januari 1969,9 Agustus 1974[ket 6],Republik,Spiro Agnew,46,
54,37,Richard Nixon(1913–1994)[112][113][114],,20 Januari 1969,9 Agustus 1974[ket 6],Republik,Spiro Agnew[ket 6] KosongGerald Ford,47,
55,38,Gerald Ford(1913–2006)[115][116][117],,9 Agustus 1974,20 Januari 1977,Republik,KosongNelson Rockefeller,47,
56,39,Jimmy Carter(1924–)[118][119][120],,20 Januari 1977,20 Januari 1981,Demokrat,Walter Mondale,48,
57,40,Ronald Reagan(1911–2004)[121][122][123],,20 Januari 1981,20 Januari 1989,Republik,George H. W. Bush,49,
58,40,Ronald Reagan(1911–2004)[121][122][123],,20 Januari 1981,20 Januari 1989,Republik,George H. W. Bush,50,
59,41,George H. W. Bush(1924–2018)[124][125][126],,20 Januari 1989,20 Januari 1993,Republik,Dan Quayle,51,
60,42,Bill Clinton(1946–)[127][128][129],,20 Januari 1993,20 Januari 2001,Demokrat,Al Gore,52,
61,42,Bill Clinton(1946–)[127][128][129],,20 Januari 1993,20 Januari 2001,Demokrat,Al Gore,53,
62,43,George W. Bush(1946–)[130][131][132],,20 Januari 2001,20 Januari 2009,Republik,Dick Cheney,54,
63,43,George W. Bush(1946–)[130][131][132],,20 Januari 2001,20 Januari 2009,Republik,Dick Cheney,55,
64,44,Barack Obama(1961–)[133][134][135],,20 Januari 2009,20 Januari 2017,Demokrat,Joe Biden,56,
65,44,Barack Obama(1961–)[133][134][135],,20 Januari 2009,20 Januari 2017,Demokrat,Joe Biden,57,
66,45,Donald Trump(1946–)[136][137],,20 Januari 2017,20 Januari 2021,Republik,Mike Pence,58,
67,46,Joe Biden(1942–),,20 Januari 2021,Petahana,Demokrat,Kamala Harris,59,
