,P u t a r a n   G A T T,T a h u n,J u m l a h   n e g a r a   p e s e r t a
0,Jenewa,1947,19
1,Annecy,1949,27
2,Torquay,1950,33
3,Jenewa,1956,36
4,Dillon,1960–61,43
5,Kennedy,1962–67,74
6,Tokyo,1973–79,85
7,Uruguay,1986–94,128
8,Sumber: Hoekman & Mavroidis 2007[11],Sumber: Hoekman & Mavroidis 2007[11],Sumber: Hoekman & Mavroidis 2007[11]
