,S u b f a m i l i,T r i b u s,B e r k a s,G e n u s,S p e s i e s
0,Subfamili Monachinae,Tribus Monachini,,"Monachus Fleming, 1822",Monachus monachus
1,Subfamili Monachinae,Tribus Monachini,,"Neomonachus Slater & Helgen, 2014","Hawaiian monk seal, Neomonachus schauinslandi †Neomonachus tropicalis (punah sekitar tahun 1952)"
2,Subfamili Monachinae,Tribus Miroungini,,"Mirounga Gray, 1827",Mirounga angustirostris Mirounga leonina
3,Subfamili Monachinae,Tribus Lobodontini,,"Ommatophoca Gray, 1844",Ommatophoca rossii
4,Subfamili Monachinae,Tribus Lobodontini,,"Lobodon Gray, 1844",Lobodon carcinophagus
5,Subfamili Monachinae,Tribus Lobodontini,,"Hydrurga Gistel, 1848",Hydrurga leptonyx
6,Subfamili Monachinae,Tribus Lobodontini,,"Leptonychotes Gill, 1872",Leptonychotes weddellii
7,Subfamili Phocinae,Tribus Cystophorini,,"Cystophora Nilsson, 1820",Cystophora cristata
8,Subfamili Phocinae,Tribus Erignathini,,"Erignathus Gill, 1866",Erignathus barbatus
9,Subfamili Phocinae,Tribus Phocini,,"Phoca Linnaeus, 1758",Phoca vitulina Phoca largha
10,Subfamili Phocinae,Tribus Phocini,,"Pusa Scopoli, 1771",Pusa hispida (dahulu Phoca hispida) Pusa sibirica (dahulu Phoca sibirica) Pusa caspica (dahulu Phoca caspica)
11,Subfamili Phocinae,Tribus Phocini,,"Pagophilus Gray, 1844",Pagophilus groenlandicus (dahulu Phoca groenlandica)
12,Subfamili Phocinae,Tribus Phocini,,"Histriophoca Gill, 1873",Histriophoca fasciata (dahulu Phoca fasciata)
13,Subfamili Phocinae,Tribus Phocini,,"Halichoerus Nilsson, 1820",Halichoerus grypus
