,B a h a s a   I n g g r i s,B a h a s a   I n d o n e s i a   ( t e r j e m a h a n ),B a h a s a   I n d o n e s i a   ( f o r m a l )
0,England,Inggris,Inggris
1,United Kingdom,Kerajaan Bersatu / Kerajaan Serikat,Britania Raya
2,Great Britain,Britania Raya,Britania Raya
