,G a m b a r,P e c a h a n,T a h u n   e d a r a n,D i a m e t e r   ( m m ),K e t e b a l a n   ( m m ),M a s s a   ( g ),K o m p o s i s i
0,,¥1,1955,20,15,1,100% aluminium
1,,¥5,1959,22,15,375,60–70% tembaga 30–40% seng
2,,¥10,1951 (langka) 1959,235,15,45,95% tembaga 3-4% seng 1-2% timah
3,,¥50,1967,21,17,4,Cupronickel 75% tembaga 25% nikel
4,,¥100,1967,226,17,48,Cupronickel 75% tembaga 25% nikel
5,,¥500,2000,265,2,7,(Nikel-kuningan) 72% tembaga 20% seng 8% nikel
