,D i s t r i k,P o p u l a s i,L u a s   w i l a y a h   ( k m ² ),K e p a d a t a n   ( p e r   k m ² )
0,Aki-ku,78176,94.01,832
1,Asakita-ku,156368,353.35,443
2,Asaminami-ku,220351,117.19,1880
3,Higashi-ku,122045,39.38,3099
4,Minami-ku,138138,26.09,5295
5,Naka-ku,125208,15.34,8162
6,Nishi-ku,184881,35.67,5183
7,Saeki-ku,135789,223.98,606
8,Populasi menurut data 31 Oktober 2006,Populasi menurut data 31 Oktober 2006,Populasi menurut data 31 Oktober 2006,Populasi menurut data 31 Oktober 2006
