,0,1,2
0,Didahului oleh:Nagaoka-kyō,Ibu kota Jepang794–1180,Diteruskan oleh:Fukuhara-kyō
1,Didahului oleh:Fukuhara-kyō,Ibu kota Jepang1180–1868,Diteruskan oleh:Tokyo
