,N o .,M a n w a n t a r a / M a n u,I n d r a
0,1,Swayambu,Yadnya
1,2,Swarocisa,Wipascita
2,3,Utama,Susanti
3,4,Tamasa,Sibi
4,5,Raiwata,Wibu
5,6,Caksusa,Manojawa
6,7,Waiwaswata (Sradadewa),Purandara (Indra sekarang)
7,8,Sawarni,Bali
8,9,Daksasawarni,Adbuta
9,10,Brahmasawarni,Santi
10,11,Darmasawarni,Wisa
11,12,Rudrasawarni,Ritudama
12,13,Ruci (Dewasawarni),Dewaspati
13,14,Buti (Indrasawarni),Suci
