,N a m a,K e t e r a n g a n,W a k t u,U r u t a n   d a l a m   D a f t a r   R a j a   A b y d o s
0,Narmer,Mungkin sama dengan Menes,c. 3150–3125 SM,1.0
1,Hor-Aha,Teti; Menes pada daftar sebelumnya,c. 3050 SM,2.0
2,Djer,-,41 tahun (batu Palermo),3.0
3,Merneith,Bupati untuk Den,-,
4,Djet,-,-,4.0
5,Den,-,14 sampai 50 tahun,5.0
6,Anedjib,-,10 tahun (batu Palermo),6.0
7,Semerkhet,-,9 tahun (batu Palermo),7.0
8,Qa'a,-,2916?–2890 SM,8.0
