,N o .,P e n y e b a b,J u m l a h,J u m l a h,J u m l a h
0,1.0,Prion,2,-,2
1,2.0,Virus,39,22,61
2,3.0,Bakteri,16,17,33
3,4.0,Parasit,8,14,22
4,5.0,Jamur,-,3,3
5,,Jumlah,65,56,121
