,N o,E t n i s,S e n s u s   M a l a y s i a   2 0 2 0,S e n s u s   M a l a y s i a   2 0 2 0
0,1.0,Melayu,101.82,"93,24%"
1,2.0,Bukan Warga Malaysia,2.821,"2,58%"
2,3.0,Bumiputera lainnya,2.324,"2,13%"
3,4.0,India,1.303,"1,19%"
4,5.0,Tionghoa,670.0,"0,61%"
5,6.0,Etnis lainnya,264.0,"0,24%"
6,,Total,109.202,100%
