,N a m a,T a n g g a l,P a r t a i
0,Nariman Narimanov,Maret-Desember 1922,Partai Komunis Azerbaijan
1,Polikarp Mdivani,Maret-Desember 1922,Partai Komunis Georgia
2,Aleksandr Myasnikyan,Maret-Desember 1922,Partai Komunis Armenia
