,S u k u,"G e n u s ,   j u m l a h   s p e s i e s"
0,Acanthaceae (syn.: Avicenniaceae atau Verbenaceae),"Avicennia (api-api), 9"
1,Combretaceae,"Laguncularia, 11; Lumnitzera (teruntum), 2"
2,Arecaceae,"Nypa (nipah), 1"
3,Rhizophoraceae,"Bruguiera (kendeka), 6; Ceriops (tengar), 2; Kandelia (berus-berus), 1; Rhizophora (bakau), 8"
4,Sonneratiaceae,"Sonneratia (pidada), 5"
