,I n s i g n i a,J e n d e r a l   P e n u h 統 合 幕 僚 長 お よ び 航 空 幕 僚 長 た る 空 将,L e t n a n J e n d e r a l 空 将,M a y o r G e n e r a l 空 将 補,K o l o n e l 1 等 空 佐,L e t n a n K o l o n e l 2 等 空 佐,M a y o r 3 等 空 佐,K a p t e n 1 等 空 尉,L e t n a n S a t u 2 等 空 尉,L e t n a n D u a 3 等 空 尉
0,Tipe A（甲階級章）,,,,,,,,,
1,Tipe B（乙階級章）,,,,,,,,,
2,Miniatur（略章）,,,,,,,,,
