,"D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )","D a t a   i k l i m   P u l a u   H e a r d ,   1 2   m   d p l   ( n o r m a l   1 9 8 1 – 2 0 1 0 )"
0,Rekor tertinggi °C (°F),20.1 (68.2),18.0 (64.4),19.9 (67.8),20.4 (68.7),19.3 (66.7),14.0 (57.2),15.0 (59),15.4 (59.7),16.8 (62.2),16.4 (61.5),14.6 (58.3),19.2 (66.6),20.4 (68.7)
1,Rata-rata tertinggi °C (°F),6.4 (43.5),6.5 (43.7),6.3 (43.3),5.3 (41.5),3.7 (38.7),2.3 (36.1),2.2 (36),2.2 (36),2.2 (36),3.3 (37.9),4.1 (39.4),5.4 (41.7),4.16 (39.48)
2,Rata-rata harian °C (°F),4.7 (40.5),4.8 (40.6),4.6 (40.3),3.6 (38.5),2.2 (36),0.9 (33.6),0.5 (32.9),0.4 (32.7),0.5 (32.9),1.5 (34.7),2.4 (36.3),3.8 (38.8),2.49 (36.48)
3,Rata-rata terendah °C (°F),3.0 (37.4),3.1 (37.6),2.8 (37),1.9 (35.4),0.7 (33.3),−0.6 (30.9),−1.1 (30),−1.4 (29.5),−1.1 (30),−0.2 (31.6),0.7 (33.3),2.1 (35.8),0.82 (33.48)
4,Rekor terendah °C (°F),−0.5 (31.1),0.2 (32.4),−1.7 (28.9),−2.9 (26.8),−4.8 (23.4),−7.2 (19),−6.2 (20.8),−11.5 (11.3),−8.6 (16.5),−7.1 (19.2),−6.2 (20.8),−0.7 (30.7),−11.5 (11.3)
5,Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9],Sumber #1: Météo climat stats[9]
6,Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10],Sumber #2: Météo Climat [10]
