,0,1,2
0,Permaisuri Masako OwadaLahir: 9 Desember 1963,Permaisuri Masako OwadaLahir: 9 Desember 1963,Permaisuri Masako OwadaLahir: 9 Desember 1963
1,Jepang,Jepang,Jepang
2,Didahului oleh:Shōda Michiko,Permaisuri Kaisar Jepang1 Mei 2019 – sekarang,Petahana
