,P e r i n g k a t,N e g a r a,P r o d u k s i   ( T o n )
0,1,Tiongkok,1700000
1,2,Iran,450000
2,3,Amerika Serikat,425820
3,4,Turki,194298
4,5,Meksiko,110605
5,6,Ukraina,96900
6,7,India,40000
7,8,Chili,38000
8,9,Prancis,36425
9,10,Rumania,30546
10,—,World,3282398
