,R a n k,N a m a   F i l m,S t u d i o,P e n g h a s i l a n   d u n i a,T a h u n
0,1,Frozen,Disney,"$1,276,596,763",2013
1,2,Shrek 2,DreamWorks SKG,"$919,838,758",2004
2,3,Ice Age: Dawn of the Dinosaurs,BlueSky,"$878,701,244",2003
3,4,Finding Nemo,Disney/Pixar,"$864,625,978",2003
4,5,Shrek The Third,DreamWorks SKG,"$798,958,162",2007
5,6,The Lion King,Buena Vista/Walt Disney,"$783,841,776",1994
6,7,Up,Disney/Pixar,"$683,807,981",2009
7,8,Ice Age: The Meltdown,20th Century Fox,"$655,388,158",2006
8,9,Ratatouille,Disney/Pixar,"$643,707,397",2007
9,10,Kung Fu Panda,DreamWorks SKG,"$631,736,484",2008
10,11,The Incredibles,Disney/Pixar,"$631,442,092",2004
11,12,Madagascar: Escape 2 Africa,DreamWorks SKG,"$603,900,309",2008
12,13,"Monsters, Inc.",Disney/Pixar,"$545,366,597",2001
13,14,WALL•E,Disney/Pixar,"$533,268,237",2008
14,15,Madagascar,DreamWorks SKG,"$532,680,671",2005
15,16,Aladdin,Buena Vista/Walt Disney,"$504,050,219",1992
16,17,Toy Story 2,Disney/Pixar,"$485,015,179",1998
17,18,Shrek,DreamWorks SKG,"$484,409,218",2001
18,19,Cars,Disney/Pixar,"$461,983,149",2006
19,20,Tarzan,Buena Vista/Walt Disney,"$448,191,819",1999
