,0,1
0,Utara,Kabupaten Belu
1,Timur,Distrik Cova Lima (Timor Leste) dan Laut Timor
2,Selatan,Laut Timor
3,Barat,Kabupaten Timor Tengah Utara dan Kabupaten Timor Tengah Selatan
