,k,s,t,n,h,m,y,r,w,n / m
0,ka か カ,sa さ サ,ta た タ,na な ナ,ha は ハ,ma ま マ,ya や ヤ,ra ら ラ,wa わ ワ,
1,ki き キ,shi し シ,chi ち チ,ni に ニ,hi ひ ヒ,mi み ミ,*,ri り リ,(wi) ゐ ヰ,
2,ku く ク,su す ス,tsu つツ,nu ぬ ヌ,fu ふ フ,mu む ム,yu ゆ ユ,ru る ル,*,n/m ん ン
3,ke け ケ,se せ セ,te て テ,ne ね ネ,he へ ヘ,me め メ,*,re れ レ,(we) ゑ ヱ,
4,ko こ コ,so そ ソ,to と ト,no の ノ,ho ほ ホ,mo も モ,yo よ ヨ,ro ろ ロ,o/(wo) を ヲ,
