,0,1,2,3,4,5
0,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,Johannesburg,Johannesburg,Cape Town,Durban
1,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,Stadion FNB[41] (Soccer City),Stadion Ellis Park,Stadion Cape Town (Stadion Green Point),Stadion Moses Mabhida (Stadion Durban)
2,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}26°14′5.27″S 27°58′56.47″E﻿ / ﻿26.2347972°S 27.9823528°E",26°11′51.07″S 28°3′38.76″E﻿ / ﻿26.1975194°S 28.0607667°E,33°54′12.46″S 18°24′40.15″E﻿ / ﻿33.9034611°S 18.4111528°E,29°49′46″S 31°01′49″E﻿ / ﻿29.82944°S 31.03028°E
3,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,Kapasitas: 84.490,Kapasitas: 55.686,Kapasitas: 64.100,Kapasitas: 62.760
4,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}JohannesburgDurbanCape Town PretoriaPort ElizabethBloemfonteinPolokwaneRustenburg Nelspruit Lokasi penyelenggaraan Piala Dunia FIFA 2010,,,,
5,Pretoria,Port Elizabeth,Polokwane,Nelspruit,Bloemfontein,Rustenburg
6,Stadion Loftus Versfeld,Stadion Nelson Mandela Bay,Stadion Peter Mokaba,Stadion Mbombela,Stadion Free State,Stadion Royal Bafokeng
7,25°45′12″S 28°13′22″E﻿ / ﻿25.75333°S 28.22278°E,33°56′16″S 25°35′56″E﻿ / ﻿33.93778°S 25.59889°E,23°55′29″S 29°28′08″E﻿ / ﻿23.924689°S 29.468765°E,25°27′42″S 30°55′47″E﻿ / ﻿25.46172°S 30.929689°E,29°07′02.25″S 26°12′31.85″E﻿ / ﻿29.1172917°S 26.2088472°E,25°34′43″S 27°09′39″E﻿ / ﻿25.5786°S 27.1607°E
8,Kapasitas: 42.858,Kapasitas: 42.486,Kapasitas: 41.733,Kapasitas: 40.929,Kapasitas: 40.911,Kapasitas: 38.646
9,,,,,,
