,P e r i o d e,N a m a,K e t e r a n g a n
0,1945–1946,Slovenia Federal,Bagian dari Yugoslavia Federal Demokratis
1,1946–1963,Republik Rakyat Slovenia,Bagian dari Republik Rakyat Federal Yugoslavia
2,1963–1990,Republik Sosialis Slovenia,Bagian dari Republik Federal Sosialis Yugoslavia
3,1990–kini,Republik Slovenia,Negara merdeka sejak tahun 1991
