,R a n k,N e g a r a   ( a t a u   w i l a y a h   d e p e n d e n s i ),A r e a,A r e a,P o p u l a s i,K e p a d a t a n,K e p a d a t a n,T a n g g a l,S u m b e r   p o p u l a s i
0,–,Makau (China),329,127,696100,2.115.805,5.479.910,"September 30, 2019",Official quarterly estimate
1,1,Monako,202,7799,38300,189.604,491.072,"December 31, 2018",Official estimate
2,2,Singapura,7.225,2.790,5703600,789.426,2.044.604,"July 1, 2019",Official estimate
3,–,Hong Kong (China),1106,0,7500700,678.183,1.756.486,"December 31, 2019",Official estimate
4,–,Gibraltar (United Kingdom),68,263,33701,495.603,1.283.606,"July 1, 2019",UN projection
5,3,Bahrain,778,300,1543300,198.291,513.571,"July 1, 2019",Official annual projection
6,4,Malta,315,122,514564,163.354,423.085,"July 10, 2020",Official estimate
7,5,Maladewa,298,115,374775,125.763,325.725,"December 31, 2018",Official estimate
8,–,Bermuda (United Kingdom),52,20,64027,122.652,317.667,"July 1, 2019",Official Projection
9,–,Sint Maarten (Netherlands),34,13,42876,1.261,3.266,"January 1, 2019",Official estimate Diarsipkan 2016-09-30 di Wayback Machine.
10,6,Bangladesh,143.998,55.598,174.577.398,"1.212,36",3.140,"April 10, 2023",Official population clock
11,7,Vatikan[note 1],049,1892,453,92.449,239.442,"February 1, 2019",Official estimate
12,–,Jersey (United Kingdom),116,45,104200,89.828,232.653,"December 31, 2016",Official estimate
13,-,Palestina,6020,2,4976684,82.669,214.112,"July 1, 2019",Official projection
14,–,Guernsey (United Kingdom),78,30,62723,80.414,208.271,"March 31, 2016",Official estimate
15,–,Mayotte (France),374,144,256518,68.588,177.642,"September 5, 2017",2017 census result
16,8,Lebanon,10452,4,6855713,67.206,174.063,"July 1, 2019",UN projection
17,9,Barbados,430,166,287025,6.675,17.288,"July 1, 2019",UN projection
18,–,Saint Martin (France),532,205,35107,65.991,170.916,"January 1, 2014",Official estimate
19,–,Taiwan,36197,14,23604265,65.211,168.896,"January 31, 2020",Monthly official estimate
20,10,Mauritius,2040,1,1265577,62.038,160.678,"July 1, 2018",Official estimate
21,–,Aruba (Netherlands),180,69,112309,624,1.616,"January 1, 2019",Official estimate
22,11,San Marino,61,24,34641,56.789,147.083,"April 30, 2019",Official monthly estimate Diarsipkan 2020-03-26 di Wayback Machine.
23,12,Nauru,21,8,11200,53.333,138.132,"July 1, 2020",Annual projection
24,13,Korea Selatan,100210,39,51780579,51.672,133.830,"July 1, 2020",Official annual projection
25,14,Rwanda,26338,10,12374397,46.983,121.685,"July 1, 2019",Official projection
26,15,Komoro,1861,1,873724,46.949,121.597,"July 1, 2019",Official projection
27,–,Saint Barthélemy (France),21,8,9427,4.489,11.626,"January 1, 2014",Official estimate
28,16,Netherlands,41.526,16.033,17.312.359,4169,"1.079,78","April 10, 2023",Official population clock Diarsipkan 2018-10-09 di Wayback Machine.
29,17,Israel,22.072,8.522,9.678.160,43848,"1.135,66","April 10, 2023",Official population clock
30,18,Haiti,27065,10,11263077,41.615,107.782,"July 1, 2019",UN projection
31,19,India,[convert: invalid number],1.352.642.280,41.148,106.573,"January 1, 2019",UN estimate [3][4],
32,20,Burundi,27816,11,11215578,40.321,104.431,"July 1, 2020",Official annual projection Diarsipkan 2019-04-03 di Wayback Machine.
33,21,Tuvalu,26,10,10300,39.615,102.602,"July 1, 2020",Annual projection
34,22,Belgia,30689,12,11524454,37.552,97.259,"January 1, 2020",Official monthly estimate
35,23,Philippines,300.000,115.831,115.733.831,38578,99916,"April 10, 2023",Official population clock Diarsipkan 2019-04-03 di Wayback Machine.
36,–,Templat:CUW (Netherlands),444,171,158665,35.735,92.553,"January 1, 2019",Official Estimate
37,–,Puerto Riko (United States),9104,4,3195153,35.096,90.898,"July 1, 2018",Official estimate
38,–,Réunion (France),25.037,9.667,850996,33.989,88.031,"January 1, 2016",Official estimate Diarsipkan 2019-04-03 di Wayback Machine.
39,24,Jepang,377975,146,126010000,33.338,86.345,"February 1, 2020",Monthly official estimate
40,25,Sri Lanka,65610,25,21803000,33.231,86.068,"July 1, 2019",Official estimate Diarsipkan 2017-11-17 di Wayback Machine.
41,–,Martinique (France),1128,0,371246,32.912,85.242,"January 1, 2018",Official estimate
42,–,Guam (United States),541,209,175200,32.384,83.874,"July 1, 2019",Annual projection
43,26,El Salvador,21040,8,6704864,31.867,82.535,"July 1, 2019",Official annual projection
44,27,Grenada,344,133,108825,31.635,81.934,"July 1, 2019",UN projection
45,28,Kepulauan Marshall,181,70,55900,30.884,79.989,"July 1, 2020",Annual projection
46,–,Kepulauan Virgin Amerika Serikat (United States),352,136,104909,29.804,77.192,"July 1, 2019",UN projection
47,29,Saint Lucia,617,238,180454,29.247,75.749,"July 1, 2019",UN projection
48,30,Vietnam,331212,128,96208984,29.048,75.234,"April 1, 2019",Official annual projection
49,–,Samoa Amerika (United States),197,76,57100,28.985,75.071,"July 1, 2020",Annual projection
50,31,Saint Vincent dan Grenadine,389,150,110520,28.411,73.584,"July 1, 2018",Official estimate Diarsipkan 2021-02-24 di Wayback Machine.
51,32,Britania Raya,242495,94,67886004,27.995,72.507,"May 11, 2020",Population Division UN
52,33,Pakistan,803.940,310.403,231.277.000,28768,74509,"April 10, 2023",Pakistan Bureau of Statistics
53,34,Trinidad dan Tobago,5155,2,1363985,26.459,68.528,"July 1, 2019",Official annual estimate
54,–,Cayman Islands (United Kingdom),259,100,65813,2.541,6.581,"December 31, 2018",Official estimate
55,35,Jamaika,10991,4,2726667,24.808,64.252,"December 31, 2018",Official estimate
56,36,Kuwait,17818,7,4420110,24.807,64.250,"January 1, 2019",Official estimate
57,–,Guadeloupe (France),16284,1,395725,24.301,62.939,"January 1, 2016",Official estimate Diarsipkan 2019-04-03 di Wayback Machine.
58,37,Liechtenstein,160,62,38380,23.988,62.129,"December 31, 2018",Official estimate
59,38,Luksemburg,2586,1,613894,23.739,61.484,"January 1, 2019",Official estimate
60,39,Qatar,11571,4,2740479,23.684,61.341,"May 31, 2019",Official monthly estimate Diarsipkan 2020-08-03 di Wayback Machine.
61,40,Antigua dan Barbuda,442,171,104084,23.548,60.989,"July 1, 2019",UN projection
62,41,Jerman,357168,138,83149300,2.328,6.029,"September 30, 2019",Official quarterly estimate Diarsipkan 2019-08-23 di Wayback Machine.
63,42,Nigeria,923768,357,200962000,21.755,56.345,"July 1, 2019",UN projection
64,43,Republik Dominika,47875,18,10358320,21.636,56.037,"July 1, 2019",Official projection Diarsipkan 2017-05-25 di Wayback Machine.
65,–,Kepulauan Virgin Britania Raya (United Kingdom),151,58,32206,21.328,55.239,"July 1, 2019",UN projection
66,44,Seychelles,455,176,96762,21.266,55.079,"June 30, 2018",Official estimate
67,45,Korea Utara,120540,47,25549604,21.196,54.897,"January 1, 2019",UN projection
68,46,Saint Kitts dan Nevis,270,104,56345,20.869,54.050,"July 1, 2019",UN projection
69,47,Gambia,10690,4,2228075,20.843,53.983,"July 1, 2019",UN projection
70,48,Swiss,41285,16,8586550,20.798,53.867,"September 30, 2019",Official provisional figure
71,49,Sao Tome dan Principe,1001,0,201784,20.158,52.209,"July 1, 2018",Official Estimate
72,50,Nepal,147516,57,29609623,20.072,51.986,"July 1, 2019",Official annual projection
73,51,Italia,301308,116,60252824,19.997,51.792,"August 31, 2019",Monthly official estimate Diarsipkan 2019-07-24 di Wayback Machine.
74,52,Uganda,241551,93,40006700,16.562,42.895,"July 1, 2019",Annual official estimate
75,–,Kosovo[note 2],10910,4,1795666,16.459,42.629,"December 31, 2018",Official estimate Diarsipkan 2021-02-24 di Wayback Machine.
76,53,Andorra,464,179,76177,16.417,42.520,"December 31, 2018",Official estimate
77,54,Guatemala,108889,42,17679735,16.236,42.051,"July 1, 2019",Official annual projection
78,55,Kiribati,811,313,125000,15.413,39.919,"July 1, 2020",Annual projection
79,–,Sint Eustatius (Netherlands),21,8,3193,15.205,39.381,"July 1, 2015",
80,56,Federasi Mikronesia,701,271,105600,15.064,39.016,"July 1, 2020",Annual projection
81,–,Saba (Netherlands),13,5,1947,14.977,38.790,"January 1, 2016",
82,57,Siprus,5896,2,875900,14.856,38.477,"December 31, 2018",Official estimate
83,58,Malawi,118484,46,17563749,14.824,38.394,"September 3, 2018",2018 Census Result
84,–,Pulau Man (United Kingdom),572,221,83314,14.565,37.723,"April 24, 2016",2016 census result
85,59,China,9.640.821,3.722.342,1.422.515.815,14755,38216,"April 10, 2023",Official estimate
86,60,Indonesia,5.180.053,2.000.029,268074600,14075,365,"July 1, 2019",Official annual projection
87,–,Tokelau (New Zealand),10,4,1400,140,363,"July 1, 2020",Annual projection
88,–,Anguilla (United Kingdom),96,37,13452,14.013,36.294,"May 11, 2011",Preliminary 2011 census result
89,61,Tonga,720,278,100000,13.889,35.972,"July 1, 2020",Annual projection
90,62,Tanjung Verde,4033,2,550483,13.649,35.351,"July 1, 2019",Official annual projection
91,63,Ceko,78867,30,10681161,13.543,35.076,"September 30, 2019",Official quarterly estimate
92,64,Denmark,43098,17,5814461,13.491,34.942,"July 1, 2019",Official quarterly estimate
93,65,Togo,56600,22,7538000,13.318,34.493,"July 1, 2019",Official estimate
94,66,Templat:Data Thailand,Official population clock,,,,,,
95,67,Ghana,238533,92,30280811,12.695,32.880,"July 1, 2019",Official projection
96,–,Kepulauan Mariana Utara (United States),457,176,56600,12.385,32.077,"July 1, 2020",Annual projection
97,68,Prancis,543965,210,67060000,12.328,31.929,"December 1, 2019",Monthly official estimate
98,69,Polandia,312685,121,38386000,12.276,31.795,"June 30, 2019",Official estimate
99,70,Jordan,89.342,34.495,11.439.068,12804,33161,"April 10, 2023",Official population clock
100,71,Uni Emirat Arab,83600,32,9770529,11.687,30.269,"July 1, 2019",UN projection
101,72,Azerbaijan,86600,33,10067108,11.625,30.109,"January 1, 2020",Official publication
102,–,Transnistria[note 3],4163,2,469000,11.266,29.179,"January 1, 2018",Official estimate
103,73,Portugal,92090,36,10276617,11.159,28.902,"December 31, 2018",Official estimate
104,74,Slowakia,49036,19,5450421,11.115,28.788,"December 31, 2018",Official estimate Diarsipkan 2017-02-02 di Wayback Machine.
105,75,Sierra Leone,71740,28,7901454,11.014,28.526,"July 1, 2019",Official annual projection
106,76,Austria,83879,32,8902600,10.614,27.490,"January 1, 2020",Official quarterly estimate
107,77,Turki,783562,303,83154997,10.612,27.485,"December 31, 2019",Annual official estimate Diarsipkan 2017-11-08 di Wayback Machine.
108,78,Hongaria,93029,36,9764000,10.496,27.185,"January 1, 2019",Annual official estimate
109,–,Republik Turki Siprus Utara[note 4],3.355,1.295,351965,10.491,27.172,"December 31, 2017",Official estimate Diarsipkan 2019-04-12 di Wayback Machine.
110,79,Benin,112622,43,11733059,10.418,26.982,"July 1, 2019",Official annual projection
111,80,Slovenia,20273,8,2084301,10.281,26.628,"January 1, 2019",Official quarterly estimate
112,81,Kuba,109884,42,11193470,10.187,26.384,"December 31, 2019",Official population estimate Diarsipkan 2020-06-10 di Wayback Machine.
113,82,Ethiopia,[convert: invalid number],107534882,1.011,2.618,"July 1, 2018",UN projection,
114,83,Egypt,1.002.450,387.048,105.833.161,10557,27344,"April 10, 2023",Official population clock
115,84,Albania,28703,11,2862427,9.973,25.830,"January 1, 2019",Official annual estimate
116,85,Armenia,29743,11,2957500,9.944,25.755,"September 30, 2019",Official quarterly estimate
117,86,Malaysia,330.803,127.724,33.483.730,10122,26216,"April 10, 2023",Official population clock
118,87,Kosta Rika,51100,20,5058007,9.898,25.636,"June 30, 2019",Official estimate
119,88,Dominika,739,285,71808,9.717,25.167,"July 1, 2019",UN projection
120,89,Spanyol,505990,195,46934632,9.276,24.025,"July 1, 2019",Official estimate
121,90,Suriah,185180,71,17070135,9.218,23.875,"July 1, 2019",UN projection
122,91,Kamboja,181035,70,16289270,8.998,23.305,"July 1, 2019",Official annual projection
123,92,Irak,438317,169,39309783,8.968,23.227,"July 1, 2019",UN projection-
124,93,Serbia,77474,30,6901188,8.908,23.072,"July 1, 2019",Official estimate
125,94,Senegal,196722,76,16209125,824,2.134,"July 1, 2019",Official projection
126,95,Kenya,581834,225,47564296,8.175,21.173,"August 31, 2019",2019 census result
127,–,Wallis & Futuna (France),142,55,11600,8.169,21.158,"July 1, 2020",Annual projection
128,96,Honduras,112492,43,9158345,8.141,21.085,"July 1, 2019",Official projection
129,97,Rumania,238391,92,19405156,814,2.108,"January 1, 2019",Official annual estimate
130,98,Yunani,131957,51,10724599,8.127,21.049,"January 1, 2019",Official estimate
131,99,Makedonia Utara,25713,10,2077132,8.078,20.922,"December 31, 2018",Official estimate
132,100,Myanmar,676577,261,54339766,8.032,20.803,"July 1, 2019",Official annual projection
133,101,Morocco,446.550,172.414,36.394.582,815,21109,"April 10, 2023",Official population clock
134,102,Pantai Gading,322921,125,25823071,7.997,20.712,"January 1, 2019",Official projection
135,–,Polinesia Prancis (France),3521,1,280600,7.969,20.640,"July 1, 2020",Annual projection
136,103,Moldova,33843,13,2681735,7.924,20.523,"January 1, 2019",Official estimate
137,104,Timor Leste,14919,6,1167242,7.824,20.264,"July 11, 2015",Preliminary 2015 census result
138,–,Kepulauan Turks dan Caicos (United Kingdom),497,192,37910,7.628,19.756,"July 1, 2016",Official estimate
139,105,Burkina Faso,270764,105,20244080,7.477,19.365,"July 1, 2018",Annual official projection
140,106,Lesotho,30355,12,2263010,7.455,19.308,"July 1, 2018",UN projection
141,107,Brunei,5765,2,421300,7.308,18.928,"July 1, 2017",Official estimate Diarsipkan 2016-11-11 di Wayback Machine.
142,108,Uzbekistan,447400,173,32653900,7.299,18.904,"January 1, 2018",Official estimate
143,109,Kroasia,56542,22,4087843,723,1.873,"July 1, 2018",Annual official estimate
144,110,Tunisia,163610,63,11722038,7.165,18.557,"July 1, 2019",Official estimate Diarsipkan 2019-11-28 di Wayback Machine.
145,111,Samoa,2831,1,199300,704,1.823,"July 1, 2020",Annual projection
146,112,Ireland,70273,27,4921500,7.003,18.138,"April 1, 2019",Official annual estimate
147,113,Ukraina [note 5],603000,233,41902416,6.949,17.998,"January 1, 2020",Official monthly estimate Diarsipkan 2016-08-08 di Wayback Machine.
148,114,Bosnia dan Herzegovina,51209,20,3511372,6.857,17.760,"July 1, 2016",Official estimate
149,115,Eswatini (Swaziland),17364,7,1159250,6.676,17.291,"July 1, 2018",Official projection
150,–,Bonaire (Netherlands),288,111,18905,6.564,17.001,"December 31, 2014",
151,116,Yaman,455000,176,28915284,6.355,16.459,"July 1, 2018",UN projection
152,117,Meksiko,[convert: invalid number],126577691,6.435,16.667,"July 1, 2019",Official estimate,
153,–,Kepulauan Cook (New Zealand),237,92,15250,6.435,16.667,"July 1, 2020",Annual projection
154,118,Tajikistan,143100,55,9127000,6.378,16.519,"January 1, 2019",Official estimate
155,119,Ecuador,276.841,106.889,18.200.868,6574,17028,"April 10, 2023",Official projection
156,120,Bulgaria,111002,43,6951482,6.262,16.219,"December 31, 2019",Official annual estimate Diarsipkan 2020-06-18 di Wayback Machine.
157,121,Tanzania,945087,365,55890747,5.914,15.317,"July 1, 2019",Official annual projection
158,•,"World (land only, excluding Antarctica)",134.940.000,52.100.000,7.858.564.300,5.824,15.084,"April 10, 2023",USCB's world population clock
159,122,Panama,74177,29,4158783,5.607,14.522,"July 1, 2018",Official projection
160,123,Georgia,69700,27,3729600,5.351,13.859,"January 1, 2018",Official estimate
161,124,Nikaragua,121428,47,6393824,5.266,13.639,"July 1, 2017",Official estimate
162,•,World (land only),148.940.000,57.510.000,7.858.564.300,5.276,13.665,"April 10, 2023",USCB's World population clock
163,125,Kamerun,466050,180,24348251,5.224,13.530,"July 1, 2019",Official projection Diarsipkan 2021-02-24 di Wayback Machine.
164,126,Iran,1.648.195,636.372,85.420.556,5183,13423,"April 10, 2023",Official population clock
165,–,Norfolk Island (Australia),35,14,1748,4.994,12.934,"August 9, 2016",census result
166,127,Guinea,245857,95,12218357,497,1.287,"July 1, 2019",official projection
167,128,Afghanistan,645807,249,31575018,4.889,12.662,"July 1, 2018",Official estimate Diarsipkan 2019-06-06 di Wayback Machine.
168,129,Fiji,18333,7,884887,4.827,12.502,"September 17, 2017",Official census result
169,–,Montserrat (United Kingdom),102,39,4922,4.825,12.497,"May 12, 2011",2011 census result Diarsipkan 2019-04-03 di Wayback Machine.
170,130,Guinea Khatulistiwa,28051,11,1358276,4.842,12.541,"July 1, 2018",Official estimate
171,131,Afrika Selatan,[convert: invalid number],58775022,4.814,12.468,"July 1, 2019",Official estimate,
172,132,Jibuti,23000,9,1078373,4.689,12.144,"July 1, 2019",Official projection Diarsipkan 2021-02-25 di Wayback Machine.
173,133,Liberia,97036,37,4475353,4.612,11.945,"July 1, 2019",Official projection Diarsipkan 2021-02-24 di Wayback Machine.
174,134,Belarus,207600,80,9397800,4.559,11.808,"April 1, 2020",Quarterly official estimate
175,135,Montenegro,13812,5,622182,4.505,11.668,"January 1, 2019",Official estimate
176,136,Guinea-Bissau,36125,14,1604528,4.442,11.505,"July 1, 2019",Official annual projection Diarsipkan 2017-02-02 di Wayback Machine.
