,N a m a,M a p   c o l o u r [ 1 2 ],P e r t a m a b e r o p e r a s i,T i p e,P a n j a n g,J m l . S t a,A r m a d a   s a a t   i n i,A r m a d a   m a s a   d e p a n,P e r j a l a n a n p e r   t a h u n,P e r j a l a n a n   r a t a 2 p e r   m i l
0,Jalur Bakerloo,Coklat,1906,DeepTube,23.2 km14.5 mi,25,1972 Stock,,111.136,7.665
1,Jalur Sentral,Merah,1900[a],DeepTube,74.0 km46.0 mi,49,1992 Stock,,260.916,5.672
2,Jalur Lingkar,Kuning,1871[b],Subsurface,27.2 km17.0 mi,36,S Stock[17],,114.609[c],4.716
3,Jalur Distrik,Hijau,1868,Subsurface,64.0 km40.0 mi,60,D78 StockS Stock[17],S Stock,208.317,5.208
4,Jalur Hammersmith & City,Pink,1864[d],Subsurface,25.5 km 15.9 mi,29,S Stock[17],,114.609[c],4.716
5,Jalur Jubilee,Silver,1979,DeepTube,36.2 km22.5 mi,27,1996 Stock,,213.554,9.491
6,Jalur Metropolitan,Ungu,1863,Subsurface,66.7 km41.5 mi,34,S Stock,,66779,1609
7,Jalur Utara,Hitam,1890[e],DeepTube,58.0 km36.0 mi,50,1995 Stock,,252.310,7.009
8,Jalur Piccadilly,Biru tua,1906,DeepTube,71.0 km44.3 mi,53,1973 Stock,,210.169,4.744
9,Jalur Victoria,Biru muda,1968,DeepTube,21.0 km13.3 mi,16,2009 Stock,,199.988,15.093
10,Jalur Waterloo & City,Turquoise,1898[f],DeepTube,2.5 km1.5 mi,2,1992 Stock,,15.892,10.595
