,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r B,H u r u f   k e c i l b
0,Unicode,Unicode,U+0042,U+0062
1,ASCII,Desimal,66,98
2,ASCII,Biner,01000010,01100010
3,EBCDIC,EBCDIC,194,130
