,D a r i   K e l v i n,K e   K e l v i n
0,"[°C] = [K] − 273,15","[K] = [°C] + 273,15"
1,"[°F] = [K] × 9⁄5 − 459,67","[K] = ([°F] + 459,67) × 5⁄9"
2,[°R] = [K] × 9⁄5,[K] = [°R] × 5⁄9
3,"[°De] = (373,15 − [K]) × 3⁄2","[K] = 373,15 − [°De] × ⅔"
4,"[°N] = ([K] − 273,15) × 33⁄100","[K] = [°N] × 100⁄33 + 273,15"
5,"[°Ré] = ([K] − 273,15) × ⅘","[K] = [°Ré] × 5⁄4 + 273,15"
6,"[°Rø] = ([K] − 273,15) × 21⁄40 + 7,5","[K] = ([°Rø] − 7,5) × 40⁄21 + 273,15"
