,0,1
0,Utara,"Malaysia dengan perbatasan sepanjang 1.782 km,[96] Singapura, Filipina, dan Laut Tiongkok Selatan"
1,Timur,"Papua Nugini dengan perbatasan sepanjang 820 km,[96] Timor Leste, dan Samudra Pasifik"
2,Selatan,"Australia, Timor Leste, dan Samudra Hindia"
3,Barat,Samudra Hindia
