,T i m,P l d,W,D,L,G F,G A,G D,P t s
0,Inggris,3,3,0,0,11,3,+8,9
1,Wales,3,1,1,1,3,5,−2,4
2,Irlandia Utara,3,1,0,2,4,7,−3,3
3,Skotlandia,3,0,1,2,3,6,−3,1
