,N o m o r,B a h a s a   B a k u m p a i,B a h a s a   I n d o n e s i a,B a h a s a   B a n j a r
309,310.0,mangat,nyenyak,"nyanya, (guring) batiruh"
310,311.0,mikeh,takut,kutan
311,312.0,mekeh,kalau,amun
312,313.0,mamek,ayam,
313,314.0,mate,mata,
314,315.0,mandui,mandi,
315,316.0,minsik,bangun,
316,317.0,mananjung,berjalan,
317,318.0,menter,berbaring,barabah
318,319.0,matandau,matahari,
319,320.0,malem,malam,
320,321.0,mama,saudara ayah,
321,322.0,mahamen,malu,
322,323.0,manuk,ayam,
323,324.0,munduk,duduk,
324,325.0,musti,pasti,musti
325,326.0,maku,mau,
326,327.0,mite,melihat,
327,328.0,manang,menang,
328,329.0,malang,melihat,
329,330.0,muta,muntah,
330,331.0,mamani,buang air besar,bahira
331,332.0,meteng,ikat,
332,333.0,misik,bangun,
333,334.0,maja,bertamu,ba'ilang
334,335.0,mendai,naik,
335,336.0,matei,meninggal,
336,337.0,male,kemarin,ari samalam
337,338.0,muhun,turun,
338,339.0,narai,apa,"nangapa/Napa, kaya apa"
339,340.0,nipis,tipis,nipis
340,341.0,nyame,mulut,muntung
341,342.0,nyat,leher,gulu
342,343.0,nduan,ambil (mengambil),jumput
343,344.0,nanjung,"pergi, jalan",tulak
344,345.0,ngaju,mudik,ulu
345,346.0,ngawa,hilir,ilir
346,347.0,ngambu,atas,
347,348.0,,,
348,349.0,nyelu,tahun,
349,350.0,nyumap,diasapkan,
350,351.0,nunda,dorong,tunjul
351,352.0,nahap,tegap,nahap
352,353.0,nupi,mimpi,
353,354.0,peter,baring,barabah
354,355.0,panghung,pukul,"catuk, pangkung (pukul pakai kayu bakar)"
355,356.0,patei,matikan,mati'i
356,357.0,peteh-pesan,pesan,
357,358.0,puser,pusat,
358,359.0,pai,kaki,
359,360.0,bapai,berkaki,
360,361.0,pansa,ganggu,
361,362.0,pili,beli,
362,363.0,paluwa,keluar,
363,364.0,pisi,pancing,
364,365.0,pere,berapa,
365,366.0,pusa,kucing,
366,367.0,parei,padi,
367,368.0,peteh,pesan,
368,369.0,penda,bawah,
369,370.0,paung,benih,
370,371.0,pupus,pupus,
371,372.0,pinding,telinga,
372,373.0,palipis,kening,
373,374.0,pangkit,gigit,
374,375.0,petak,tanah,
375,376.0,penu,penuh,
376,377.0,pisi,kail,
377,378.0,pandak,pendek,
378,379.0,pahayak-hayak,bersama,
379,380.0,papa,kotor,
380,381.0,papa ampi,jelek,
381,382.0,pahari,saudara,
382,383.0,pea,kapan,
383,384.0,papui,panggang,
384,385.0,paung,bibit,
385,386.0,peteng,ikat,
386,387.0,pehe,sakit,
387,388.0,penda,bawah,
388,389.0,pisi,panjang,
389,390.0,pisik,bangunkan,
390,391.0,parahan,perlihatkan,
391,392.0,pangkung,pukul,
392,393.0,pulut,ketan,
393,394.0,pilanduk,kancil,
394,395.0,pancok,rujak,
395,396.0,rake,cepat,
396,397.0,rapi,menanak nasi,
397,398.0,ramu,mengumpulkan kayu,
398,399.0,rangah,sembarangan,
399,400.0,rubut,copot,
400,401.0,rabut,rebut,
401,402.0,racik,potong kecil-kecil,
402,403.0,rancak,sering,
403,404.0,rahat,sedang,
404,405.0,ringging,rinjing,
405,406.0,randah,rendah,
406,407.0,rawa,tegur sapa,
407,408.0,rupa,"rupa, wajah",
408,409.0,rukui,menyusuri,
409,410.0,ramuk,ramuk,
410,411.0,rakat,rukun,
411,412.0,rami,ramai,
412,413.0,ramu(n),barang,
413,414.0,racap,rapat,
414,415.0,rantai,kalung,
415,416.0,rega,harga,
416,417.0,rangat,pecah sedikit,
417,418.0,rajaki,rejeki,
418,419.0,raung,nisan orang mati,
419,420.0,rakung,tempat padi,
420,421.0,rahatan,sedang,
421,422.0,rebuk,lapuk,
422,423.0,riuk,melengkung,
423,424.0,sasar,makin,
424,425.0,salawar,celana,
425,426.0,saring,disaring,
426,427.0,seut,sebut,
427,428.0,sipa,kunyah,
428,429.0,suhu,suruh,
429,430.0,singkap,tangkap,
430,431.0,sarah,serahkan,
431,432.0,sahar,tangguk,
432,433.0,sawe,istri,
433,434.0,suduk,suduk,
434,435.0,singngah,mampir,
435,436.0,sambar,sambar,
436,437.0,sanda,tanda,
437,438.0,sasal,sesal,
438,439.0,simpa,makan sirih,
439,440.0,sugih,kaya,
440,441.0,sangit,marah,
441,442.0,sapak,paha,
442,443.0,saratus,seratus,
443,444.0,sinde,sekali,
444,445.0,samandiah,semua,
445,446.0,sahundik,pucuk,
446,447.0,sadia,sedia,
447,448.0,sahukan,sembunyi,
448,449.0,sasah,kejar,
449,450.0,sandeah,semua,
450,451.0,saran,tepi,
451,452.0,suhu,perintah,
452,453.0,sium,cium,
453,454.0,sawa(n),istri,
454,455.0,sungei,sungai,
455,456.0,silu,kuku,
456,457.0,sadingen,dingin,
457,458.0,tukup,dekat,
458,459.0,tulak,pergi,
459,460.0,talih,temui,
460,461.0,tanga,beri,
461,462.0,tejek,dirikan,
462,463.0,tetek,potong,
463,464.0,tempu,tempo,
464,465.0,tusul,bakar,
465,466.0,tagui,bunyi rebah,
466,467.0,teweng,tebang,
467,468.0,tuhus,milir di riam,
468,469.0,tapean,lembar,
469,470.0,tapih,sarung,
470,471.0,tumun,turut,
471,472.0,teser,selam,
472,473.0,tanjung,jalan,
473,474.0,tengseng,nafas,
474,475.0,tutul,bintik,
475,476.0,tejep,sodok,
476,477.0,tenga,beri,
477,478.0,tusu,susu,
478,479.0,mampatusu,menyusui,
479,480.0,telo,tiga,
480,481.0,tandu,kakak,
481,482.0,talik,tarik,
482,483.0,tatawa,tertawa,
483,484.0,tapandir,berbicara,
484,485.0,tuyuk,tumpuk,
485,486.0,tukep,dekat,
486,487.0,tamunie,kadang-kadang,
487,488.0,tikas,hingga,
488,489.0,tame,masuk,
489,490.0,tiruh,tidur,
490,491.0,tanai,perut,
491,492.0,tewu,tebu,
492,493.0,tujah,pingsan,
493,494.0,teyah,kering,
494,495.0,tapa,bersamadi,
495,496.0,tahi,lama,
496,497.0,tanan,tadi,
497,498.0,tenah,tadi,
498,499.0,tampa,"buat, bikin",
499,500.0,tumbang,muara,
500,501.0,tau,bisa,
501,502.0,telu,tiga,
502,503.0,tana,"sawah, kebun",
503,504.0,tabela,muda,
504,505.0,tabala,peti mati,
505,506.0,tampalawai,dini hari,
506,507.0,uler,ulat,
507,508.0,ulun,saya,
508,509.0,ujur,benar,
509,510.0,usuk,dada,
510,511.0,uei,rotan,
511,512.0,uyah,garam,
512,513.0,uma,ibu,
513,514.0,utin balengkong,anak tekak,
514,515.0,uei,rotan,
515,516.0,uluh,orang,
516,517.0,utuk,sekarang,
517,518.0,ulanda,Belanda,
518,519.0,ukai,tempat,
519,520.0,ujan,hujan,
520,521.0,upih,kelopak pinang,
521,522.0,uju,tujuh,
522,523.0,umba,ikut,
523,524.0,utan,hutan,
524,525.0,umbet,berhenti,
525,526.0,ujar,kata,
526,527.0,utek,otak,
527,528.0,uka,kakak,
528,529.0,ukan,tempat,
529,530.0,ulih,"dapat, sanggup",
530,531.0,ewei,rotan,
531,532.0,wadai,kue,
532,533.0,waluh,labu,
533,534.0,wadi,ikan wadi,
534,535.0,waras,batas,
535,536.0,wah,wah,
536,537.0,wajik,wajik,
537,538.0,wada,hina,
538,539.0,yaweh,siapa,
539,540.0,yaku,saya,
540,541.0,yete,yaitu,
541,542.0,yatak,otak,
