,M i k r o t u b u l u s,F i l a m e n   i n t e r m e d i a t,M i k r o f i l a m e n
0,Tabung berongga yang kaku dan tidak dapat diregangkan,Filamen liat yang fleksibel dan dapat diregangkan,Filamen fleksibel yang tidak dapat diregangkan
1,25 nm,10–12 nm,8 nm
2,"Tubulin, dimer dari α-tubulin dan β-tubulin",~70 jenis protein,Aktin
3,"Pendukung, transpor intraselular, organisasi sel",Pendukung,Motilitas dan kontraksi
4,Semua eukariota,Hewan,Semua eukariota
5,Sitoplasma,Sitoplasma dan nukleus,Sitoplasma
6,Mikrotubula di dalam sel,Filamen keratin sel karsinoma,Mikrofilamen sel mencit
7,,,
