,T a h u n,P a r t a i   P o l i t i k,P a r t a i   P o l i t i k,P a r t a i   P o l i t i k
0,2000,50,50,-
1,2002,40,51,1
2,2004,44,55,1
3,2006,49,49,2
4,2008,59,40,1
5,2010,51,47,2
6,2021,48,50,2
