,P e r i n g k a t,F o t o,N a m a,P e n d a p a t a n   2 0 1 6   ( U S $   j u t a ),K a r y a w a n,C a t a t a n
0,1,,Walmart,485.873,2.300.000,"Perusahaan ritel multinasional yang didirikan Sam Walton tahun 1962. Perusahaan milik keluarga ini memiliki jumlah karyawan terbanyak di dunia dan pendapatan terbesar di Amerika Serikat. Divisi internalnya meliputi Walmart Canada dan Walmart de México y Centroamérica. Anak perusahaannya adalah Sam's Club, Jet.com, dan Asda."
1,8,,Berkshire Hathaway,223.604,367.700,"Konglomerat multinasional dan perusahaan investasi asal Nebraska yang dipimpin Warren Buffett. Perusahaan induk ini membawahkan perusahaan keuangan GEICO dan Gen Re, perusahaan ritel Dairy Queen dan Oriental Trading Company, dan perusahaan industri Johns Manville dan Marmon Group."
2,9,,Apple Inc.,215.639,116.000,"Perusahaan teknologi multinasional yang memproduksi barang elektronik konsumen dan perangkat lunak. Produk-produknya yang terkenal adalah telepon pintar iPhone, komputer tablet iPad, dan komputer pribadi Mac."
3,10,,ExxonMobil,205.004,72.700,"Perusahaan minyak dan gas internasional asal Texas yang dipecah dari Standard Oil. Raksasa minyak ini adalah perusahaan swasta terbesar di sektor ini, melakukan eksplorasi, penyulingan, distribusi, dan penjualan minyak."
4,11,,McKesson Corporation,198.533,64.500,"Perusahaan distribusi dan penjual obat-obatan yang juga menangani teknologi medis, suplai obat-obatan, dan manajemen perawatan. Penjualannya dioperasikan oleh Health Mart."
