,B i b i r,A l v e o l a r / P a l a t a l,V e l a r,G l o t a l
0,m,n,ŋ,
1,p,t,k,ʔ
2,b,d,ɡ,
3,,s,,h
4,,l,,
5,,r,,
6,w,j,,
